PC1,PC2,is_anomaly,anomaly_score,type
-0.3985211155463913,0.1521196020089565,0,0.21960318803775405,normal
2.8066975228244537,-1.0998724334908252,1,0.6624161384154237,anomalie
-0.11716666717518762,-0.8025342821181388,1,0.6438322173443872,anomalie
1.0761074506878625,-0.7767716170844206,0,0.3719691737893551,normal
1.4434567165240415,-0.0955065696554679,1,0.5134482105957239,anomalie
0.7963366786471332,1.4141870489962696,0,0.11022895864251686,normal
-0.48196876636414304,-0.7755949547146043,0,0.11479418683631833,normal
0.5856188744609799,1.4932574092270585,0,0.11428808574778153,normal
0.7897021623198889,0.3106569729899231,0,0.10915981832973931,normal
-0.6733328166853125,1.297227174280907,0,0.3875018035595591,normal
-0.4986171646911921,-0.48331087135096207,0,0.0869405565285483,normal
0.9885227924204707,0.6145018635689353,1,0.4767790530291635,anomalie
-3.2313038041912185,0.833135096898145,1,0.5635210258965394,anomalie
-0.10876987102049362,-2.0481247674963043,1,0.41675810712584654,anomalie
-0.4101467396384151,-1.6209478736973646,1,0.5056243639621145,anomalie
0.34266482745916893,0.7267763835364226,0,0.2612288787470281,normal
0.21633765654102413,-0.8142283845404001,0,0.22120218756175303,normal
-0.5526043787322422,-0.8663526264535018,0,0.29079234428223444,normal
0.9930854524651346,1.1358001479983364,0,0.24625592356405537,normal
-0.42353648793803383,2.037376279279209,0,0.2996043136600445,normal
-0.33948212916266546,1.871180531383856,1,0.44355582438492724,anomalie
-0.028706248801664537,-0.5982115586914812,0,0.049458447873665996,normal
-0.28638481890981826,1.9858613009867707,0,0.22410591125214516,normal
-0.29004800328195196,-0.9589280704835683,1,0.5644173874730862,anomalie
0.4503332583468824,0.6391080342824639,1,0.792937280519342,anomalie
-0.578362532574643,0.5376236423359608,0,0.28353073748700325,normal
-0.2516983093517711,0.7554924607479692,0,0.2005640508758496,normal
1.801378198905389,-1.0990984869704215,1,0.5348187703135584,anomalie
-3.292787935104895,-2.040579468506491,1,1.0,anomalie
0.45895249065053856,-1.1078236294972745,0,0.38621869803490577,normal
1.3275471786940576,-1.8133972824066797,1,0.4668867256841644,anomalie
0.10317725219200741,0.45904546827853726,0,0.13455691106455028,normal
1.036338075963989,-0.9568386900233374,1,0.5288965209521838,anomalie
-2.621849370909538,0.1261518990280033,1,0.6246264536002005,anomalie
-1.8570750981828026,0.6218409548703342,1,0.778579328460694,anomalie
-0.10889381089953007,-0.34358370390805804,0,0.13276399264408545,normal
0.0030279911309048653,1.905440593562164,0,0.162958313934535,normal
-1.4607200843185302,-0.2191464799239596,1,0.4138312610558861,anomalie
-0.22879939629084362,2.3321240870655386,0,0.38871333777510236,normal
0.5951778177625658,1.4730100782998155,0,0.09429901836678088,normal
0.35486447523694825,-1.0940351015329466,0,0.2008549080538271,normal
0.6972476641176283,1.0018906410714674,0,0.1632273704447872,normal
1.6717966323648465,-1.122092078336445,1,0.4870580130917108,anomalie
-0.4926820916954057,-0.8649833731660779,0,0.10167952679964525,normal
1.4264386276007541,0.5398712597234714,0,0.3470443901052721,normal
-2.0018514176165745,0.7653927001629081,1,0.750097079378994,anomalie
-1.656798956156855,-0.22025051166637447,0,0.34146651322376853,normal
2.863368674220378,-1.31103313644986,1,0.7240192704809807,anomalie
0.2635177200878497,-1.4245059013224037,0,0.3577576066281523,normal
-0.6228285482298375,-0.3148504705324491,0,0.10545585556469857,normal
-1.1229520929439316,-1.0895858655517794,0,0.21188340614844745,normal
0.22272522356965155,-0.56255426632007,0,0.21510848873655944,normal
1.6486337038087748,-0.36415264881160553,1,0.4694828190366166,anomalie
-1.301634268470293,1.2342890100974497,1,0.7003655611479574,anomalie
-1.8626467115124195,-0.28775174565961187,0,0.24132722448091665,normal
0.18181954721296845,1.0408922760537567,0,0.3814040439377685,normal
1.5191324888611266,-0.7396881153015495,1,0.4378526132941657,anomalie
-0.331120863117255,0.8793600672466775,0,0.1305254296591625,normal
0.09764651854035535,-0.7046524910229596,0,0.03616932426760055,normal
1.6075166803772705,-1.6584225890452866,1,0.6277583696066605,anomalie
-1.4394947350172025,-0.9619627364635973,1,0.46195567162487516,anomalie
1.0016864367987628,-0.06343335317592932,0,0.15925287111842162,normal
-1.0486041128860835,1.5734885787127169,0,0.37476616740396,normal
0.5937461469873367,1.6763344081430638,1,0.5136540122303621,anomalie
1.5628522356539656,-1.164123774711699,1,0.4298290768417244,anomalie
-2.242831932805873,-1.0764166752192865,1,0.7423009594853549,anomalie
1.536494572908433,-1.2489850259349558,1,0.6173710191543077,anomalie
-0.2504564579713584,-0.630158952713958,0,0.2114006491547865,normal
0.37680353871740074,-1.0977970507229784,0,0.25207277547965273,normal
0.06825955618132509,-2.0409165084086447,1,0.41376307733668355,anomalie
1.157119402514139,0.5081867281031898,0,0.10019003137477177,normal
-3.431260736792149,0.8699426196549849,1,0.6551974134906032,anomalie
-0.5266264505598408,-1.3371758944198724,1,0.5005428471478378,anomalie
-1.1406469313478866,-2.550133712261328,1,0.5581321567100411,anomalie
0.012574535336826178,-0.6181314014224044,0,0.11342754855292442,normal
1.4783104440083485,-0.9478355308237593,1,0.5449144872887967,anomalie
1.1051998444864854,0.12456855897373444,0,0.4077295394968078,normal
-1.5624047825740017,-1.1219970035070168,1,0.44542428881315144,anomalie
-0.31027850884210223,1.9207711693498135,0,0.36081505414966697,normal
0.9886786586148477,-0.8361982451059355,0,0.12541181678435231,normal
1.5308315085913136,0.4207124301568339,0,0.13414090239028184,normal
1.2949290933794468,0.22693507093413565,0,0.1794622196711314,normal
-1.8890411981758681,-0.6923232878376583,1,0.7080557631771442,anomalie
1.4584777789927648,2.0281516558906705,1,0.45043569154283325,anomalie
0.31000556742027185,-0.5450585310197014,0,0.0,normal
1.1472067974923397,-0.2831099405955886,0,0.208422303392933,normal
0.29812081941690427,-0.1454967340321577,0,0.28886621021026876,normal
1.5308315085913136,0.4207124301568339,0,0.13414090239028184,normal
0.6979353990120738,0.7962146523429667,0,0.017909173023293493,normal
0.06917674706431669,0.7445212240397466,0,0.26128595037602365,normal
-0.024068958085113983,1.9543415834000417,0,0.222318811280234,normal
-2.351136784742689,-0.7538730606946541,1,0.6755535845337484,anomalie
-0.6112907348114478,1.0633934823719877,0,0.18346951208938309,normal
-0.33995144556613155,1.5389192087294028,0,0.3420584556343752,normal
0.7443613675651244,-1.1350078124432472,0,0.24542003532035075,normal
-0.13439548075435997,-1.1250334969145155,0,0.21534458092261075,normal
0.056132750813321274,-0.4214136918073822,0,0.061194681619985675,normal
