category,state,is_anomaly,anomaly_score,decision_score,raw_score,severity
-1.511439410932568,-0.9579751998145828,1,1.0,-0.16524449813890796,-0.665244498138908,critique
1.7802616655085965,-1.6691668849033598,1,0.8464131684389431,-0.12964556467383892,-0.6296455646738389,moyen
1.7802616655085965,1.5311956979961374,1,0.8327660327933926,-0.12648238024652303,-0.626482380246523,moyen
0.9573363963983054,1.6734340350138928,1,0.8052564878193929,-0.12010611444801655,-0.6201061144480166,moyen
1.5059532424718327,1.6734340350138928,1,0.7508196770691877,-0.10748854571344235,-0.6074885457134424,moyen
0.9573363963983054,-1.5269285478856045,1,0.7256944103759643,-0.10166491690221446,-0.6016649169022145,moyen
1.7802616655085965,1.1755998554517488,1,0.6991786425153083,-0.09551899250067186,-0.5955189925006719,faible
-0.9628225648590405,-1.8114052219211154,1,0.6852718123234373,-0.09229561509468887,-0.5922956150946889,faible
0.6830279733615416,-1.5980477163944822,1,0.6765152003424442,-0.09026597463578745,-0.5902659746357874,faible
1.5059532424718327,1.602314866505015,1,0.655923077833979,-0.08549305503302851,-0.5854930550330285,faible
-1.2371309878958041,1.1755998554517488,1,0.6298784648209351,-0.07945633667409657,-0.5794563366740966,faible
1.5059532424718327,-0.8157368627968273,1,0.6291102802388482,-0.07927828396248937,-0.5792782839624894,faible
1.7802616655085965,-1.3846902108678492,1,0.6158781626696268,-0.07621129398580362,-0.5762112939858036,faible
-1.2371309878958041,0.8200040129073601,1,0.572886035611836,-0.06624641708134282,-0.5662464170813428,faible
1.5059532424718327,1.3178381924695042,1,0.5606186872809749,-0.06340304494725757,-0.5634030449472576,faible
1.7802616655085965,0.3932890018540939,1,0.5598531331871847,-0.06322560194012117,-0.5632256019401212,faible
1.7802616655085965,-0.3179026832346833,1,0.5590776132241414,-0.06304584900632726,-0.5630458490063273,faible
-0.6885141418222768,-1.7402860534122377,1,0.5531386201305711,-0.061669286850323246,-0.5616692868503232,faible
1.5059532424718327,-0.3179026832346833,1,0.5459411189436397,-0.06000102295514376,-0.5600010229551438,faible
0.6830279733615416,1.2467190239606265,1,0.5373231841202546,-0.058003525609402695,-0.5580035256094027,faible
1.7802616655085965,0.1799314963274607,1,0.5322796281799658,-0.05683451124455907,-0.5568345112445591,faible
-0.9628225648590405,-1.5980477163944822,1,0.5320401252322393,-0.05677899835055544,-0.5567789983505554,faible
-0.4142057187855131,1.5311956979961374,1,0.5256467316310053,-0.05529711353586775,-0.5552971135358677,faible
-0.4142057187855131,-1.7402860534122377,1,0.5247951499492804,-0.05509973073084684,-0.5550997307308468,faible
1.5059532424718327,0.7488848443984825,1,0.5174434939703505,-0.053395736258195936,-0.5533957362581959,faible
-0.9628225648590405,-1.7402860534122377,1,0.49956683432851084,-0.0492522168516214,-0.5492522168516214,faible
0.6830279733615416,-1.0290943683234606,1,0.4861848642392284,-0.046150493494234945,-0.546150493494235,faible
0.9573363963983054,-0.6023793572701942,1,0.48063848750553484,-0.04486493343476805,-0.544864933434768,faible
1.7802616655085965,-0.7446176942879497,1,0.47875481434226125,-0.04442832858441892,-0.5444283285844189,faible
0.9573363963983054,1.3178381924695042,1,0.46104168395130385,-0.04032271260265352,-0.5403227126026535,faible
0.6830279733615416,-0.6734985257790719,1,0.44068069721833725,-0.03560336651925,-0.53560336651925,faible
1.7802616655085965,-0.8157368627968273,1,0.4350427393566266,-0.034296579441491226,-0.5342965794414912,faible
1.7802616655085965,-1.171332705341216,1,0.4253237634265863,-0.03204387864699265,-0.5320438786469927,faible
1.7802616655085965,-1.171332705341216,1,0.4253237634265863,-0.03204387864699265,-0.5320438786469927,faible
1.5059532424718327,0.1799314963274607,1,0.417422665940128,-0.030212532555256688,-0.5302125325552567,faible
-0.4142057187855131,-1.5980477163944822,1,0.4162820445257275,-0.02994815503390691,-0.5299481550339069,faible
0.9573363963983054,-0.10454517770805016,1,0.41141240459366607,-0.028819451575554877,-0.5288194515755549,faible
0.6830279733615416,0.6777656758896047,1,0.408325435412318,-0.028103942248494884,-0.5281039422484949,faible
1.5059532424718327,0.32216983334521615,1,0.40439086923092604,-0.027191973700920524,-0.5271919737009205,faible
0.9573363963983054,0.8200040129073601,1,0.4024787773981555,-0.026748781864471716,-0.5267487818644717,faible
-0.9628225648590405,1.3889573609783818,1,0.38433767973387223,-0.022543970018493842,-0.5225439700184938,faible
0.6830279733615416,0.32216983334521615,1,0.35327118220539017,-0.015343260379077184,-0.5153432603790772,faible
-0.4142057187855131,1.4600765294872595,1,0.325457300044155,-0.008896454162689693,-0.5088964541626897,faible
-0.4142057187855131,1.4600765294872595,1,0.325457300044155,-0.008896454162689693,-0.5088964541626897,faible
-0.9628225648590405,-0.03342600919917245,1,0.2981424569251698,-0.0025653170924194724,-0.5025653170924195,faible
0.6830279733615416,0.03769315930970527,1,0.29348606870687566,-0.001486041918332126,-0.5014860419183321,faible
0.6830279733615416,0.03769315930970527,1,0.29348606870687566,-0.001486041918332126,-0.5014860419183321,faible
